OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,OBJECTID_1,Shape_Leng,Top_in_RPA
1158,0,5,d5ebedb0-e4a4-4bd8-8ac2-32d5a28fcf87,1,4,0,30,SOUTH MAIN STREET,BEACH STREET,N3927,N3927,SOUTH MAIN STREET,BEACH STREET,N3927,N3927,MARTHA'S VINEYARD COMMISSION,TISBURY,5,{22C3583F-F919-4489-A9D4-187658E68883},,,,,976.143107,74,976.143167,Y
1160,0,10,3ca7637d-f991-4f9f-a121-c61cc90da5a4,0,6,4,34,CHICOPEE STREET,INTERSTATE 391,SR116 NB,I391 NB,INTERSTATE 391,CHICOPEE STREET,I391 NB,SR116 NB,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{A5B8C742-4F63-47B6-AFD4-DFEAC53CEB84},,,,,1298.671634,75,1298.671678,Y
1163,0,26,f08766c0-6d78-48a0-85c7-9d55263e52f4,0,16,10,90,CAMBRIDGE STREET,ELLSWORTH AVENUE,N1480,L208517,CAMBRIDGE STREET,ELLSWORTH AVENUE,N1480,L208517,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,SOMERVILLE","6,4",{221AC182-6056-41AB-A206-3139EEF23225},,,,,1740.537938,76,1740.538154,Y
1209,0,9,00482f10-2a1e-4f2e-a545-5a245ddb6e71,0,4,5,25,TAUNTON GREEN,MAIN STREET,SR138 NB,US44 EB,TAUNTON GREEN,MAIN STREET,SR138 NB,US44 EB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,TAUNTON,5,{4CEAC13F-8612-470F-AC32-2774EFA2A0B4},,,,,1594.570569,77,1594.570451,Y
1214,0,10,c5838195-d6e9-4e55-b610-3738fd89e88a,0,8,2,42, ,JOHN F KENNEDY STREET,L091334,N326,MEMORIAL DRIVE,JOHN F KENNEDY STREET,US3 NB,N326,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{5E09DD9E-8F8F-401D-9431-47FBF0730154},,,,,862.701385,78,862.701403,Y
1258,0,2,2e8a33ca-4aba-4aa9-bfc4-64f3aef18efd,0,2,0,10,BEACH ROAD,LAGOON POND ROAD,N3927,L140962,BEACH ROAD,BEACH STREET,N3927,N3927,MARTHA'S VINEYARD COMMISSION,TISBURY,5,{EADED1C3-D5DE-4620-A4E8-0DAE349C579D},,,,,830.95676,79,830.956764,Y
1265,0,9,18d604d2-9530-417e-935b-c62b4cca1d03,0,7,2,37,MAIN STREET,MORSE AVENUE,US20 EB,L106506,MAIN STREET,BROAD STREET,US20 EB,US20 EB,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{CB3BDFC5-10B4-4478-AC0F-9B4D3F1F82E6},,,,,632.255365,80,632.255349,Y
1281,0,8,7dc4a05f-61ab-4dd7-a818-88481345e21e,0,7,1,36,WEBSTER AVENUE,COLUMBIA STREET,N1207 NB,L193222,PROSPECT STREET,WEBSTER AVENUE,N327,N1207 NB,METROPOLITAN AREA PLANNING COUNCIL,"SOMERVILLE,CAMBRIDGE","4,6",{D87F11DB-080D-4F89-87FD-7B813C0DBCA1},,,,,1065.146906,81,1065.146979,Y
1290,0,17,e62e4448-ef66-459f-a51b-3f7b6c4aada9,0,16,1,81,MAIN STREET, ,US20 EB,L092646,MAIN STREET,NORTH BEACON STREET,US20 EB,US20 EB,METROPOLITAN AREA PLANNING COUNCIL,WATERTOWN,6,{409DE8CE-6086-48CC-938D-1A95F8A20431},,,,,1514.263117,82,1514.263033,Y
1345,0,8,21d3a336-dc86-497a-a47f-4e3b51e58654,0,7,1,36,SOUTH MAIN STREET,WILLIAM STREET,N5419,L183520,SOUTH MAIN STREET,WILLIAM STREET,N5419,L183520,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{E5A82CC3-E3FD-418E-8BEF-A8A54AA2D12E},,,,,1172.579168,83,1172.579106,Y
