OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,RANK,MAP_NAME,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
108,0,12,718ed528-5244-4b12-ace0-b220f2df7764,0,12,0,60,EAST CENTRAL STREET,SOUTH MAIN STREET,SR135 EB,SR27 NB,EAST CENTRAL STREET,SOUTH MAIN STREET,SR135 EB,SR27 NB,MAPC,NATICK,3,0, ,{CC3B651F-D7D2-4865-AEC3-55B3AE46BABB},,,,,123627.940994,1471.80568
109,0,59,da592a9a-6e4c-4a37-a43b-6578c92b4ac1,1,40,16,226,MAIN STREET,WALL STREET,SR125 NB,L150999,MAIN STREET,MERRIMACK STREET,SR125 NB,SR113 EB,MVPC,HAVERHILL,4,0, ,{A296E0A8-92B5-453F-9289-F74140F6226B},,,,,307448.335892,3413.235948
110,0,20,5d826e6c-ec48-41e4-a92d-1956306fe177,0,15,5,80,MIDDLESEX STREET,APPLETON STREET,N459,SR110 EB,APPLETON STREET,MIDDLESEX STREET,SR110 EB,N459,NMCOG,LOWELL,4,0, ,{451DB77F-083A-43BB-AB10-44CAAB9414DF},,,,,107386.927628,1342.220203
111,0,10,9a53691b-b4da-4995-bffd-4274fef636a8,1,4,5,35,MAPLE STREET,HAMPDEN STREET,N025,L184459,MAPLE STREET,LYMAN STREET,N025,N028,PVPC,HOLYOKE,2,0, ,{1AF560CA-6CAA-4D7A-8912-5E361EFADBD7},,,,,88943.489868,1130.366645
112,0,54,08a0e102-e11a-4c40-a9df-952a49e6faef,0,39,15,210,MAIN STREET,RUSSELL STREET,US20 EB,L210017,MAIN STREET,WESTON STREET,US20 EB,US20 EB,MAPC,WALTHAM,4,0, ,{CFA9166E-DE64-444F-98BB-AEB052E7E258},,,,,216987.455124,2270.857659
113,0,127,14806fab-da6a-4f41-9130-07b3a1763485,0,80,47,447,UNION STREET,ESSEX STREET,BSR0107,BSR0102,CENTRAL AVENUE,CHESTNUT STREET,SR129 WB,N365,MAPC,LYNN,4,5,5 - UNION STREET & ESSEX STREET,{FB2F07D6-3813-42F6-97C2-E4F1E1CAC483},,,,,594785.827301,5246.735716
114,0,24,018294da-ab65-4699-8162-531ebd837e3e,1,17,6,101,MAIN STREET,MECHANIC STREET,SR9 EB,L168723,MAIN STREET,MAPLE STREET,SR9 EB,SR31 NB,CMRPC,SPENCER,3,0, ,{C90B5C58-E3EE-473C-91B7-AF70B41D4EDF},,,,,125164.966415,1561.73943
115,0,11,ace284d0-41fa-4b2b-94ac-77e9b4853832,0,10,1,51,CENTRAL STREET,MAIN STREET,N377,N376,CENTRAL STREET,MAIN STREET,N377,N376,MAPC,PEABODY,4,0, ,{24F8C951-C3CE-4179-993B-DCC924F0889D},,,,,112268.149124,1423.707879
116,0,16,560c870c-7ff5-4e47-9adb-44b64da73ae5,0,14,2,72,COUNTY STREET,ACUSHNET AVENUE,SMR028,L114175,COUNTY STREET,RIVET STREET,SMR028,SMR216,SRPEDD,NEW BEDFORD,5,0, ,{32DE2BB3-9400-435F-9498-EB4E5856C5FB},,,,,137541.080917,1616.684405
117,0,15,7052876a-a86d-48c6-9fc1-4fa89b7bbcdf,0,12,3,63,COMMERCIAL STREET,CENTRE STREET,SR27 NB,SR123 EB,CENTRE STREET,COMMERCIAL STREET,SR123 EB,SR27 NB,OCPC,BROCKTON,5,0, ,{A4FB2031-A1D8-4954-B3BF-51085E54F9F3},,,,,89047.654861,1202.780839
118,0,15,dc6ba5bf-cab7-4f9c-adcb-1299e04108b9,0,10,5,55,BROADWAY,HARVARD STREET,BSR0342,BSR1284,BROADWAY,COLUMBIA STREET,BSR0342,BSR0348,MAPC,CAMBRIDGE,6,0, ,{9994AEEC-5367-4020-891F-41494DA4442D},,,,,94444.699768,1161.182828
119,0,12,76d60597-d76c-42b9-ba2a-c27f12681443,0,10,2,52,MCGRATH HIGHWAY,BROADWAY,SR28 NB,L122420,MCGRATH HIGHWAY,FELLSWAY,SR28 NB,SR28 NB,MAPC,SOMERVILLE,4,0, ,{88D6FB0A-DA41-46CF-914E-C779BAB0F54E},,,,,71785.544296,1032.235682
120,0,145,f4a75066-3117-4f5a-ba36-47073f2f4208,4,73,68,473,MASSACHUSETTS AVENUE,GREEN STREET,SR2A EB,L163047,MASSACHUSETTS AVENUE,RIVER STREET,SR2A EB,N081,MAPC,CAMBRIDGE,6,3,3 - MASSACHUSETTS AVENUE & GREEN STREET,{853E14F9-0462-45A4-A1A7-1C9DE440D950},,,,,441515.688141,3816.44272
121,0,46,d8ba2891-d0de-4c8e-9d5c-984227e20207,2,34,10,200,BRIDGE STREET,VETERANS OF FOREIGN WARS HIGHWAY,SR38 NB,SR38 NB,BRIDGE STREET,VETERANS OF FOREIGN WARS HIGHWAY,SR38 NB,SR38 NB,NMCOG,LOWELL,4,0, ,{F9E719CD-291D-449C-839C-59C5D74B764A},,,,,150462.991531,1693.786687
122,0,3,3c64fb75-f2c8-4652-8d0a-2ebb0ced2579,0,3,0,15, ,MAIN STREET,B1,MSV001,MAIN STREET, ,MSV001,B1,MVC,EDGARTOWN,5,0, ,{8BA9D2B8-B711-4D98-8E05-D78C121EAF1F},,,,,59428.475494,922.430995
123,0,22,0391c5e4-36d5-4783-9143-7cdb5beff752,1,13,8,83,WINDSOR STREET,MASSACHUSETTS AVENUE,BSR1283,SR2A EB,MASSACHUSETTS AVENUE,MAIN STREET,SR2A EB,N323,MAPC,CAMBRIDGE,6,0, ,{9F7FD0F3-CB75-4015-9AB4-2BFF5F2FFCCA},,,,,148984.253876,1768.055093
124,0,12,c69d9401-b805-4c6c-b610-369e2876e793,0,11,1,56,MAIN STREET,MORSE AVENUE,US20 EB,L106506,MAIN STREET,BROAD STREET,US20 EB,US20 EB,PVPC,WESTFIELD,2,0, ,{252FD188-BF15-4CDD-AE3C-D94DB37B0B11},,,,,85672.385971,1161.118514
125,0,45,9018d597-c6b7-4e0b-b595-c359a3f18351,1,40,4,214, ,MAIN STREET,L000214,SR9 EB,MAIN STREET,ELM STREET,SR9 EB,SR9 EB,PVPC,NORTHAMPTON,2,0, ,{2004675F-A19D-4EB2-84C9-41D26CCBB34A},,,,,250565.51384,2501.383451
126,0,24,5d284f94-1a62-49af-8285-f6b459c2c20f,1,20,3,113,SOUTH MAIN STREET,TUTTLE STREET,SR138 NB,L176596,SOUTH MAIN STREET,DWELLY STREET,SR138 NB,SMR134,SRPEDD,FALL RIVER,5,0, ,{0E1BECA9-2B0F-47FF-8D09-4C4B44A81DDC},,,,,154382.09201,1816.514854
