inject_date,street,city,roadType,pubMillis,locy,locx,subtype,reliability,uuid,type,reportRating,magvar,startTime,startTimeMillis,endTime,endTimeMillis
2/23/15 1:40,Stuart St,"Boston, MA",6,1.42E+12,42.349468,-71.072449,HAZARD_ON_ROAD_POT_HOLE,5,3dc450bf-e3ad-3dfa-823e-f894d8338e8a,WEATHERHAZARD,1,69,2/23/15 1:35,1.42E+12,2/23/15 1:36,1.42E+12
2/23/15 1:50,Charlesgate,"Boston, MA",6,1.42E+12,42.348164,-71.092327,HAZARD_ON_ROAD_POT_HOLE,5,f2b5379d-24aa-3bf4-9981-4d32d70262e4,WEATHERHAZARD,2,-179,2/23/15 1:46,1.42E+12,2/23/15 1:47,1.42E+12
2/23/15 2:00,Charlesgate,"Boston, MA",6,1.42E+12,42.348164,-71.092327,HAZARD_ON_ROAD_POT_HOLE,5,f2b5379d-24aa-3bf4-9981-4d32d70262e4,WEATHERHAZARD,2,-179,2/23/15 1:55,1.42E+12,2/23/15 1:56,1.42E+12
2/23/15 2:20,Western Ave,"Boston, MA",7,1.42E+12,42.361973,-71.143181,HAZARD_ON_ROAD_POT_HOLE,5,de41025f-7b78-32dd-b7a8-a9f3171a8b0b,WEATHERHAZARD,0,75,2/23/15 2:15,1.42E+12,2/23/15 2:16,1.42E+12
2/23/15 2:30,Western Ave,"Boston, MA",7,1.42E+12,42.361973,-71.143181,HAZARD_ON_ROAD_POT_HOLE,5,de41025f-7b78-32dd-b7a8-a9f3171a8b0b,WEATHERHAZARD,0,75,2/23/15 2:26,1.42E+12,2/23/15 2:27,1.42E+12
2/23/15 3:00,William J Day Blvd,"Boston, MA",7,1.42E+12,42.329442,-71.034833,HAZARD_ON_ROAD_POT_HOLE,5,08bfee95-fdf4-3c5d-a3d1-3614a30edcbb,WEATHERHAZARD,1,71,2/23/15 2:56,1.42E+12,2/23/15 2:57,1.42E+12
2/23/15 3:00,Charlesgate,"Boston, MA",6,1.42E+12,42.348409,-71.092323,HAZARD_ON_ROAD_POT_HOLE,5,1b68cc6c-0865-3d7c-b22f-9dbf5d31ad97,WEATHERHAZARD,2,0,2/23/15 2:56,1.42E+12,2/23/15 2:57,1.42E+12
2/23/15 5:10,Hobson St,"Boston, MA",1,1.42E+12,42.353119,-71.162235,HAZARD_ON_ROAD_POT_HOLE,6,3706df8c-85ed-34c8-abd3-0194807e2989,WEATHERHAZARD,1,9,2/23/15 5:05,1.42E+12,2/23/15 5:06,1.42E+12
2/23/15 2:40,Western Ave,"Boston, MA",7,1.42E+12,42.361973,-71.143181,HAZARD_ON_ROAD_POT_HOLE,5,de41025f-7b78-32dd-b7a8-a9f3171a8b0b,WEATHERHAZARD,0,75,2/23/15 2:35,1.42E+12,2/23/15 2:36,1.42E+12
2/23/15 2:40,Charlesgate,"Boston, MA",6,1.42E+12,42.348409,-71.092323,HAZARD_ON_ROAD_POT_HOLE,5,1b68cc6c-0865-3d7c-b22f-9dbf5d31ad97,WEATHERHAZARD,2,0,2/23/15 2:35,1.42E+12,2/23/15 2:36,1.42E+12
